Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Dataset,SubSet,Model
direct_entity,0.8643,0.902,0.9144,0.9082,0.7264,0.9144,anatomy,human-mouse,gemini-2.0-flash-lite
direct_entity_ontological,0.7412,0.9021,0.726,0.8046,0.783,0.726,anatomy,human-mouse,gemini-2.0-flash-lite
sequential_hierarchy,0.8543,0.875,0.9349,0.904,0.6321,0.9349,anatomy,human-mouse,gemini-2.0-flash-lite
sequential_hierarchy_ontological,0.5176,0.8846,0.3938,0.545,0.8585,0.3938,anatomy,human-mouse,gemini-2.0-flash-lite
direct_entity_with_synonyms,0.8392,0.8476,0.9521,0.8968,0.5283,0.9521,anatomy,human-mouse,gemini-2.0-flash-lite
sequential_hierarchy_with_synonyms,0.8417,0.8378,0.9726,0.9002,0.4811,0.9726,anatomy,human-mouse,gemini-2.0-flash-lite
