Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model
direct_entity,0.8253,0.8239,0.8819,0.8519,0.7505,0.8819,0.6323,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
direct_entity_ontological,0.8165,0.8404,0.8368,0.8386,0.7896,0.8368,0.6264,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
sequential_hierarchy,0.8349,0.8362,0.8833,0.8591,0.7709,0.8833,0.6542,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
sequential_hierarchy_ontological,0.7997,0.8179,0.834,0.8259,0.7542,0.834,0.5882,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
direct_entity_with_synonyms,0.8013,0.7897,0.8875,0.8358,0.6872,0.8875,0.5746,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
sequential_hierarchy_with_synonyms,0.8013,0.7847,0.8973,0.8373,0.6741,0.8973,0.5714,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17
