Experiment,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Dataset,SubSet,Model
direct_entity,0.6456,0.5652,0.7163,0.6318,0.5935,0.7163,bioml-2024,ncit-doid,gemini-2.0-flash-lite
direct_entity_ontological,0.6608,0.5973,0.6171,0.607,0.6931,0.6171,bioml-2024,ncit-doid,gemini-2.0-flash-lite
sequential_hierarchy,0.6175,0.5325,0.8127,0.6434,0.4736,0.8127,bioml-2024,ncit-doid,gemini-2.0-flash-lite
sequential_hierarchy_ontological,0.593,0.5773,0.1543,0.2435,0.9167,0.1543,bioml-2024,ncit-doid,gemini-2.0-flash-lite
direct_entity_with_synonyms,0.5977,0.5157,0.8623,0.6454,0.4024,0.8623,bioml-2024,ncit-doid,gemini-2.0-flash-lite
sequential_hierarchy_with_synonyms,0.5708,0.4962,0.7107,0.5844,0.4675,0.7107,bioml-2024,ncit-doid,gemini-2.0-flash-lite
