Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model
all_data_dummy,0.5181,0.4678,0.9807,0.6335,0.1768,0.9807,0.1575,bioml-2024,ncit-doid,gemini-1.5-flash
only_names,0.5064,0.4618,0.9835,0.6285,0.1545,0.9835,0.1379,bioml-2024,ncit-doid,gemini-1.5-flash
only_with_children,0.4912,0.454,0.978,0.6201,0.1321,0.978,0.1101,bioml-2024,ncit-doid,gemini-1.5-flash
only_with_parents,0.4807,0.4493,0.989,0.6179,0.1057,0.989,0.0947,bioml-2024,ncit-doid,gemini-1.5-flash
with_hierarchy,0.4807,0.4493,0.989,0.6179,0.1057,0.989,0.0947,bioml-2024,ncit-doid,gemini-1.5-flash
