Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Dataset,SubSet,Model
direct_entity,0.8291,0.8182,0.9863,0.8944,0.3962,0.9863,anatomy,human-mouse,gemini-2.0-flash
direct_entity_ontological,0.794,0.7853,0.9897,0.8758,0.2547,0.9897,anatomy,human-mouse,gemini-2.0-flash
sequential_hierarchy,0.8392,0.8295,0.9829,0.8997,0.4434,0.9829,anatomy,human-mouse,gemini-2.0-flash
sequential_hierarchy_ontological,0.8417,0.8378,0.9726,0.9002,0.4811,0.9726,anatomy,human-mouse,gemini-2.0-flash
direct_entity_with_synonyms,0.8417,0.8262,0.9932,0.902,0.4245,0.9932,anatomy,human-mouse,gemini-2.0-flash
sequential_hierarchy_with_synonyms,0.8442,0.8305,0.9897,0.9031,0.4434,0.9897,anatomy,human-mouse,gemini-2.0-flash
