Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Dataset,SubSet,Model
direct_entity,0.7678,0.8485,0.8559,0.8522,0.4514,0.8559,bioml-2024,omim-ordo,gemini-2.0-flash
direct_entity_ontological,0.7746,0.8186,0.9144,0.8639,0.2727,0.9144,bioml-2024,omim-ordo,gemini-2.0-flash
sequential_hierarchy,0.776,0.8459,0.8725,0.859,0.4295,0.8725,bioml-2024,omim-ordo,gemini-2.0-flash
sequential_hierarchy_ontological,0.7206,0.8251,0.8157,0.8204,0.3793,0.8157,bioml-2024,omim-ordo,gemini-2.0-flash
direct_entity_with_synonyms,0.8716,0.865,0.9904,0.9235,0.4451,0.9904,bioml-2024,omim-ordo,gemini-2.0-flash
sequential_hierarchy_with_synonyms,0.8661,0.8581,0.993,0.9206,0.4107,0.993,bioml-2024,omim-ordo,gemini-2.0-flash
