Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model
all_data_dummy,0.6875,0.656,0.9494,0.7759,0.3408,0.9494,0.2901,bioml-2024,ncit-doid,gemini-2.0-flash-lite
only_names,0.6418,0.6174,0.9761,0.7564,0.1993,0.9761,0.1753,bioml-2024,ncit-doid,gemini-2.0-flash-lite
only_with_children,0.6434,0.6198,0.9677,0.7556,0.2142,0.9677,0.1818,bioml-2024,ncit-doid,gemini-2.0-flash-lite
only_with_parents,0.6306,0.6087,0.9845,0.7523,0.162,0.9845,0.1465,bioml-2024,ncit-doid,gemini-2.0-flash-lite
with_hierarchy,0.6338,0.611,0.9831,0.7536,0.1713,0.9831,0.1544,bioml-2024,ncit-doid,gemini-2.0-flash-lite
